Date,"Cuttlefish"
2019-03-28,1594
2019-03-29,2243
2019-03-30,2305
2019-03-31,1745
2019-04-01,1598
2019-04-02,1666
2019-04-03,1693
2019-04-04,1690
2019-04-05,1628
2019-04-06,1482
2019-04-07,1570
2019-04-08,1702
2019-04-09,1629
2019-04-10,1662
2019-04-11,1536
2019-04-12,1519
2019-04-13,1513
2019-04-14,1438
2019-04-15,1455
2019-04-16,1528
2019-04-17,2127
2019-04-18,3645
2019-04-19,4065
2019-04-20,2690
2019-04-21,2171
2019-04-22,2148
2019-04-23,1977
2019-04-24,1960
2019-04-25,2161
2019-04-26,1952
2019-04-27,1711
2019-04-28,1761
2019-04-29,1670
2019-04-30,1760
2019-05-01,1705
2019-05-02,1618
2019-05-03,1599
2019-05-04,1449
2019-05-05,1672
2019-05-06,1628
2019-05-07,1614
2019-05-08,1728
2019-05-09,1692
2019-05-10,1629
2019-05-11,1650
2019-05-12,2064
2019-05-13,2001
2019-05-14,1760
2019-05-15,2022
2019-05-16,1626
2019-05-17,1555
2019-05-18,1505
2019-05-19,2356
2019-05-20,1770
2019-05-21,1751
2019-05-22,1666
2019-05-23,1463
2019-05-24,1565
2019-05-25,1477
2019-05-26,2479
2019-05-27,1444
2019-05-28,1605
2019-05-29,1489
2019-05-30,1457
2019-05-31,1439
2019-06-01,1404
2019-06-02,2421
2019-06-03,1533
2019-06-04,1607
2019-06-05,2967
2019-06-06,1896
2019-06-07,1647
2019-06-08,1590
2019-06-09,1698
2019-06-10,2619
2019-06-11,1431
2019-06-12,1512
2019-06-13,3782
2019-06-14,1374
2019-06-15,1545
2019-06-16,1681
2019-06-17,1539
2019-06-18,1701
2019-06-19,1498
2019-06-20,1486
2019-06-21,1613
2019-06-22,1646
2019-06-23,1633
2019-06-24,1661
2019-06-25,1563
2019-06-26,2064
2019-06-27,1555
2019-06-28,1618
2019-06-29,1754
2019-06-30,1730
2019-07-01,1444
2019-07-02,1526
2019-07-03,1664
2019-07-04,1618
2019-07-05,1494
2019-07-06,1575
2019-07-07,1623
2019-07-08,1416
2019-07-09,1449
2019-07-10,1459
2019-07-11,1450
2019-07-12,1397
2019-07-13,1537
2019-07-14,1469
2019-07-15,1789
2019-07-16,1509
2019-07-17,1492
2019-07-18,1505
2019-07-19,1505
2019-07-20,1446
2019-07-21,1484
2019-07-22,1517
2019-07-23,1427
2019-07-24,1392
2019-07-25,1437
2019-07-26,1421
2019-07-27,1380
2019-07-28,1833
2019-07-29,1531
2019-07-30,1640
2019-07-31,1591
2019-08-01,1571
2019-08-02,1581
2019-08-03,1612
2019-08-04,1681
2019-08-05,1561
2019-08-06,1451
2019-08-07,1375
2019-08-08,1651
2019-08-09,1602
2019-08-10,1615
2019-08-11,1718
2019-08-12,2161
2019-08-13,1634
2019-08-14,1399
2019-08-15,1394
2019-08-16,1556
2019-08-17,1640
2019-08-18,1938
2019-08-19,1784
2019-08-20,1500
2019-08-21,1545
2019-08-22,1652
2019-08-23,1767
2019-08-24,1892
2019-08-25,1962
2019-08-26,1865
2019-08-27,1593
2019-08-28,1489
2019-08-29,1546
2019-08-30,1571
2019-08-31,1533
2019-09-01,1538
2019-09-02,1479
2019-09-03,1550
2019-09-04,1623
2019-09-05,1944
2019-09-06,1950
2019-09-07,1493
2019-09-08,1462
2019-09-09,1647
2019-09-10,2446
2019-09-11,1571
2019-09-12,1789
2019-09-13,1581
2019-09-14,1421
2019-09-15,1434
2019-09-16,1533
2019-09-17,1601
2019-09-18,1559
2019-09-19,1610
2019-09-20,1544
2019-09-21,1374
2019-09-22,1849
2019-09-23,1497
2019-09-24,1530
2019-09-25,1482
2019-09-26,1946
2019-09-27,2007
2019-09-28,1701
2019-09-29,1674
2019-09-30,1525
2019-10-01,2031
2019-10-02,1612
2019-10-03,1774
2019-10-04,2457
2019-10-05,1450
2019-10-06,1628
2019-10-07,1684
2019-10-08,1607
2019-10-09,1882
2019-10-10,1526
2019-10-11,1366
2019-10-12,1373
2019-10-13,1375
2019-10-14,1928
2019-10-15,1402
2019-10-16,2387
2019-10-17,1630
2019-10-18,1395
2019-10-19,1281
2019-10-20,1565
2019-10-21,1645
2019-10-22,1344
2019-10-23,1427
2019-10-24,1356
2019-10-25,1312
2019-10-26,1177
2019-10-27,1275
2019-10-28,1349
2019-10-29,1442
2019-10-30,1385
2019-10-31,1332
2019-11-01,1180
2019-11-02,1232
2019-11-03,1367
2019-11-04,1333
2019-11-05,1317
2019-11-06,1359
2019-11-07,1548
2019-11-08,1592
2019-11-09,1298
2019-11-10,1370
2019-11-11,1410
2019-11-12,1341
2019-11-13,1323
2019-11-14,1696
2019-11-15,1265
2019-11-16,1207
2019-11-17,1512
2019-11-18,1359
2019-11-19,1938
2019-11-20,1361
2019-11-21,1502
2019-11-22,1878
2019-11-23,1265
2019-11-24,1388
2019-11-25,1623
2019-11-26,1958
2019-11-27,1290
2019-11-28,1586
2019-11-29,1301
2019-11-30,1347
2019-12-01,1301
2019-12-02,1243
2019-12-03,1499
2019-12-04,1311
2019-12-05,1310
2019-12-06,1275
2019-12-07,1125
2019-12-08,1231
2019-12-09,1276
2019-12-10,1352
2019-12-11,1162
2019-12-12,1305
2019-12-13,1251
2019-12-14,1148
2019-12-15,1190
2019-12-16,1310
2019-12-17,1245
2019-12-18,1106
2019-12-19,1184
2019-12-20,1225
2019-12-21,1188
2019-12-22,1169
2019-12-23,1159
2019-12-24,1147
2019-12-25,1229
2019-12-26,1231
2019-12-27,1263
2019-12-28,1201
2019-12-29,1519
2019-12-30,1470
2019-12-31,1239
